# train_loss,val_loss
2.504740655422210693e-01,2.043962031602859497e-01
1.880485117435455322e-01,1.897762268781661987e-01
1.750622242689132690e-01,1.616418808698654175e-01
1.540468335151672363e-01,1.481774002313613892e-01
1.386411488056182861e-01,1.371771097183227539e-01
1.314799636602401733e-01,1.239694654941558838e-01
1.107211187481880188e-01,1.010435372591018677e-01
9.945878386497497559e-02,1.008500680327415466e-01
9.917599707841873169e-02,9.946880489587783813e-02
9.734337776899337769e-02,9.796392172574996948e-02
9.579008817672729492e-02,9.681940078735351562e-02
9.536929428577423096e-02,9.708357602357864380e-02
9.524571895599365234e-02,9.659732878208160400e-02
9.461725503206253052e-02,9.625907242298126221e-02
9.442964196205139160e-02,9.628158807754516602e-02
9.437807649374008179e-02,9.410043805837631226e-02
8.146342635154724121e-02,6.668039411306381226e-02
6.662023067474365234e-02,6.060188263654708862e-02
5.005667358636856079e-02,3.832940757274627686e-02
3.882134705781936646e-02,3.802256658673286438e-02
3.856381773948669434e-02,3.768879175186157227e-02
3.735425695776939392e-02,3.523046895861625671e-02
3.545214980840682983e-02,3.419610857963562012e-02
3.546470776200294495e-02,3.455547988414764404e-02
3.508137166500091553e-02,3.408610448241233826e-02
3.473489359021186829e-02,3.394516557455062866e-02
3.431129828095436096e-02,3.384864702820777893e-02
3.425626456737518311e-02,3.381196781992912292e-02
3.437117114663124084e-02,3.374825790524482727e-02
3.419150039553642273e-02,3.369221091270446777e-02
3.427457436919212341e-02,3.364244103431701660e-02
3.429556265473365784e-02,3.368213772773742676e-02
3.433267399668693542e-02,3.360591828823089600e-02
3.439483791589736938e-02,3.355824947357177734e-02
3.415271267294883728e-02,3.364623710513114929e-02
3.379417583346366882e-02,3.352381661534309387e-02
3.394856303930282593e-02,3.364116325974464417e-02
3.410463035106658936e-02,3.356500715017318726e-02
3.425204008817672729e-02,3.345661237835884094e-02
3.412561491131782532e-02,3.384780511260032654e-02
3.382931649684906006e-02,3.342488408088684082e-02
3.413010761141777039e-02,3.347492590546607971e-02
3.392227366566658020e-02,3.358247131109237671e-02
3.371896222233772278e-02,3.340097889304161072e-02
3.400081768631935120e-02,3.359405696392059326e-02
3.387225419282913208e-02,3.335765749216079712e-02
3.389643505215644836e-02,3.334519267082214355e-02
3.362721577286720276e-02,3.348790481686592102e-02
3.372783586382865906e-02,3.332561254501342773e-02
3.376227244734764099e-02,3.330399841070175171e-02
3.386900573968887329e-02,3.339251503348350525e-02
3.367765247821807861e-02,3.328147158026695251e-02
3.355063870549201965e-02,3.328189253807067871e-02
3.375850990414619446e-02,3.331147506833076477e-02
3.365322574973106384e-02,3.324694186449050903e-02
3.353696689009666443e-02,3.345966339111328125e-02
3.354950249195098877e-02,3.322976082563400269e-02
3.344494476914405823e-02,3.329312801361083984e-02
3.330419957637786865e-02,3.324072062969207764e-02
3.355730697512626648e-02,3.320983424782752991e-02
3.368125110864639282e-02,3.324439376592636108e-02
3.338697552680969238e-02,3.317934274673461914e-02
3.338281810283660889e-02,3.324625268578529358e-02
3.346228599548339844e-02,3.317323699593544006e-02
3.340412303805351257e-02,3.317825868725776672e-02
3.329893574118614197e-02,3.324705362319946289e-02
3.331711143255233765e-02,3.313921019434928894e-02
3.350748494267463684e-02,3.317042440176010132e-02
3.338580206036567688e-02,3.314767405390739441e-02
