# train_loss,val_loss
7.264544010162353516e+00,6.211969852447509766e+00
5.286540508270263672e+00,4.396965026855468750e+00
3.612872362136840820e+00,2.873624563217163086e+00
2.273536682128906250e+00,1.741255044937133789e+00
1.354081630706787109e+00,1.026096940040588379e+00
8.043195009231567383e-01,6.076212525367736816e-01
4.842336475849151611e-01,3.813821971416473389e-01
3.173561990261077881e-01,2.809457480907440186e-01
2.696798741817474365e-01,2.580638229846954346e-01
2.471571266651153564e-01,2.360680401325225830e-01
2.258010804653167725e-01,2.153556346893310547e-01
2.056870758533477783e-01,1.959853768348693848e-01
1.753284633159637451e-01,1.613788753747940063e-01
1.528340429067611694e-01,1.440599113702774048e-01
1.362363100051879883e-01,1.283099949359893799e-01
1.211995407938957214e-01,1.140197068452835083e-01
1.076224744319915771e-01,1.011512205004692078e-01
9.539750963449478149e-02,8.961090445518493652e-02
8.449975401163101196e-02,7.933121919631958008e-02
7.477012276649475098e-02,7.018191367387771606e-02
6.615382432937622070e-02,6.208853796124458313e-02
5.854633823037147522e-02,5.497370287775993347e-02
5.187537148594856262e-02,4.872588440775871277e-02
4.603564366698265076e-02,4.331067204475402832e-02
4.100227355957031250e-02,3.863772004842758179e-02
3.668969869613647461e-02,3.467507660388946533e-02
3.303335607051849365e-02,3.134900331497192383e-02
3.004438616335391998e-02,2.867898158729076385e-02
2.770472504198551178e-02,2.667750231921672821e-02
2.606217749416828156e-02,2.543094381690025330e-02
2.514274790883064270e-02,2.484121918678283691e-02
2.485325001180171967e-02,2.473964914679527283e-02
2.480323426425457001e-02,2.470351755619049072e-02
2.478199452161788940e-02,2.470566518604755402e-02
2.475774288177490234e-02,2.481465972959995270e-02
2.474116533994674683e-02,2.466607093811035156e-02
2.473426610231399536e-02,2.466626837849617004e-02
2.473938651382923126e-02,2.468850649893283844e-02
2.473129332065582275e-02,2.465665154159069061e-02
2.471391111612319946e-02,2.465453743934631348e-02
2.471406012773513794e-02,2.465915866196155548e-02
2.471015788614749908e-02,2.468830160796642303e-02
2.469472773373126984e-02,2.463161200284957886e-02
2.469236589968204498e-02,2.467503212392330170e-02
2.467565611004829407e-02,2.461169101297855377e-02
2.465836703777313232e-02,2.461154200136661530e-02
2.465812303125858307e-02,2.459176816046237946e-02
2.465596236288547516e-02,2.460713125765323639e-02
2.463176473975181580e-02,2.461592294275760651e-02
2.462825737893581390e-02,2.457453869283199310e-02
2.462644129991531372e-02,2.455444820225238800e-02
2.460136078298091888e-02,2.455994673073291779e-02
2.457774616777896881e-02,2.455603517591953278e-02
2.456268109381198883e-02,2.453878335654735565e-02
2.455134689807891846e-02,2.454458735883235931e-02
2.454587817192077637e-02,2.454079873859882355e-02
2.453255653381347656e-02,2.451495267450809479e-02
2.452795766294002533e-02,2.447714284062385559e-02
2.451587095856666565e-02,2.446601353585720062e-02
2.449739910662174225e-02,2.446862496435642242e-02
2.447388321161270142e-02,2.447988279163837433e-02
2.446316927671432495e-02,2.456143312156200409e-02
2.444997802376747131e-02,2.441936917603015900e-02
2.442169934511184692e-02,2.437980473041534424e-02
2.440777979791164398e-02,2.440658025443553925e-02
2.438190206885337830e-02,2.434051781892776489e-02
2.435381338000297546e-02,2.438338845968246460e-02
2.432101964950561523e-02,2.427772805094718933e-02
2.428106404840946198e-02,2.423213981091976166e-02
2.424026653170585632e-02,2.420712821185588837e-02
2.418513968586921692e-02,2.414760924875736237e-02
2.412598766386508942e-02,2.405274473130702972e-02
2.403185889124870300e-02,2.396241948008537292e-02
2.392039075493812561e-02,2.388637140393257141e-02
2.377120777964591980e-02,2.364294975996017456e-02
2.354087308049201965e-02,2.337639220058917999e-02
2.318793721497058868e-02,2.291090600192546844e-02
2.254476770758628845e-02,2.201131545007228851e-02
2.127755805850028992e-02,2.037397213280200958e-02
1.845427416265010834e-02,1.487229019403457642e-02
6.062933709472417831e-03,1.546592335216701031e-03
1.588439219631254673e-03,1.459877705201506615e-03
1.566876424476504326e-03,1.456678728573024273e-03
1.559355296194553375e-03,1.485418644733726978e-03
1.561393379233777523e-03,1.512167160399258137e-03
1.567695057019591331e-03,1.440850086510181427e-03
1.558351446874439716e-03,1.440697698853909969e-03
1.557821291498839855e-03,1.507821143604815006e-03
